channel1,channel2,channel3,channel4,channel5,channel6
1.0342153720064633e-09,4.59479379934631e-10,-1.830697865872021e-11,-1.3008268640583724e-10,1.0962270391640042e-09,1.5676962008958199e-10
1.3863511606155383e-08,4.76376797845831e-09,-8.26102034562165e-10,-1.9784617995525577e-09,1.2666759917163109e-08,2.00502675074667e-09
8.956056301610887e-08,2.1929992717490643e-08,-9.171714699631735e-09,-1.4593644906961285e-08,6.877645845717126e-08,1.2032134693493058e-08
3.7345580074020184e-07,5.555144221830291e-08,-5.4448916758265535e-08,-6.957266507103029e-08,2.3320950697986006e-07,4.4927802867543844e-08
1.1370325266453382e-06,6.363784070081745e-08,-2.1501455151640415e-07,-2.414796886464313e-07,5.51757124698538e-07,1.1631778883680174e-07
2.711471233002459e-06,-8.938521556483021e-08,-6.269631138950714e-07,-6.526885597188966e-07,9.560229021193797e-07,2.1813767293132796e-07
5.298313627814709e-06,-6.253126384094177e-07,-1.433860618231464e-06,-1.4352772086582977e-06,1.2114187025123794e-06,2.9203114547664325e-07
8.731834077331565e-06,-1.7485899080075093e-06,-2.6685538599802418e-06,-2.6448417430148544e-06,1.0011518320883733e-06,2.3296142112437335e-07
1.2318699373884825e-05,-3.4844218128907568e-06,-4.127935605354549e-06,-4.159191897592476e-06,1.1285773616069746e-07,-6.025310617078072e-08
1.4877136519388716e-05,-5.554081752630047e-06,-5.3515483081260705e-06,-5.623994134799088e-06,-1.4098601457689683e-06,-6.058984505794242e-07
1.5072961499211593e-05,-7.385966303333192e-06,-5.784051958458673e-06,-6.515156341196355e-06,-3.25665481590637e-06,-1.2793638641430018e-06
1.20266706803823e-05,-8.312732252635688e-06,-5.072328194207152e-06,-6.347081073720034e-06,-4.976373996181952e-06,-1.8307181855711e-06
5.896347067508057e-06,-7.890742265803452e-06,-3.3007388561734846e-06,-4.942202792981147e-06,-6.161211190399827e-06,-2.0054053174939752e-06
-2.0298930596803667e-06,-6.145059018956424e-06,-9.604923055242493e-07,-2.568424675190868e-06,-6.5956073688132775e-06,-1.7045910197684887e-06
-9.92863221625212e-06,-3.541123278757946e-06,1.3523572103700564e-06,1.9789040179120803e-07,-6.2935740221588765e-06,-1.052175268421623e-06
-1.6327333213985428e-05,-6.863065683437321e-07,3.270622209471873e-06,2.8007288344841263e-06,-5.407070240507514e-06,-2.91405797373056e-07
-2.058581334297445e-05,1.9919812534346823e-06,4.743635915167615e-06,4.956436925976396e-06,-4.086962972908368e-06,4.0518005940407064e-07
-2.265727944538309e-05,4.319991323418178e-06,5.832404949604491e-06,6.623929658868675e-06,-2.426358264846845e-06,1.0279822702626594e-06
-2.251337097969967e-05,6.181443368268002e-06,6.447100322614381e-06,7.759402765307034e-06,-5.34778609022155e-07,1.6309449737172356e-06
-1.991373600616608e-05,7.309562345110552e-06,6.312596370705781e-06,8.138647499234008e-06,1.3490616041013852e-06,2.1556472450640847e-06
-1.4788430511616576e-05,7.335628988650662e-06,5.214067159803341e-06,7.46381201468504e-06,2.8502494430054813e-06,2.38949092215646e-06
-7.808994913751743e-06,6.082901426982162e-06,3.2857342914830452e-06,5.669814222447609e-06,3.609422391014111e-06,2.1237811326589883e-06
-4.768261851259909e-07,3.820950757573557e-06,1.0498316310537472e-06,3.122554387439395e-06,3.4929601656744344e-06,1.353063004271384e-06
5.4868406489912934e-06,1.2146413947450146e-06,-8.563082389699211e-07,4.99058258887047e-07,2.6832149995398385e-06,3.1636609421127065e-07
8.9914737467128e-06,-1.0163999820216576e-06,-2.0439554215232214e-06,-1.5618306610099888e-06,1.551280571607864e-06,-6.485838101847062e-07
9.993947905964656e-06,-2.458172533464349e-06,-2.53749835592163e-06,-2.7632461446025968e-06,4.0365638298590295e-07,-1.3000800296641218e-06
9.210249098808297e-06,-3.1164123098715046e-06,-2.6316056868578496e-06,-3.198691709531336e-06,-6.802105810481233e-07,-1.5891212274742112e-06
7.444039006957492e-06,-3.2450474213113492e-06,-2.585075380155794e-06,-3.151483994341441e-06,-1.7819137382806749e-06,-1.616211151030017e-06
5.097760362580067e-06,-3.076677507797647e-06,-2.410823532778546e-06,-2.8355610541346697e-06,-2.935447136292209e-06,-1.5126143127660773e-06
2.175053045471082e-06,-2.676477861486659e-06,-1.9189249828886487e-06,-2.2795651751732036e-06,-3.994166053961926e-06,-1.3477002891598808e-06
-1.3614794597238444e-06,-1.9846666678930257e-06,-9.483640679312866e-07,-1.4035072306498947e-06,-4.6913640110794226e-06,-1.117808599413321e-06
-5.242194361481416e-06,-9.464505649020926e-07,4.217003465470066e-07,-1.7933333942052395e-07,-4.810483785950087e-06,-7.938254120623539e-07
-8.820919803943305e-06,3.946039146639574e-07,1.851898619892568e-06,1.2631733520461226e-06,-4.30376014073258e-06,-3.7095630383943333e-07
-1.1302439387458507e-05,1.8761522322705388e-06,2.9205747495214134e-06,2.6458377723955605e-06,-3.2864758494250036e-06,1.1110243805119831e-07
-1.2086197291729729e-05,3.2423445732327342e-06,3.3531839240589756e-06,3.6397071404632086e-06,-1.950713908783213e-06,5.739898535709884e-07
-1.1006410245646264e-05,4.199069996622032e-06,3.1304129792824883e-06,3.987222827769941e-06,-4.839730564265404e-07,9.201590324299905e-07
-8.360497375395532e-06,4.505677306520426e-06,2.4224065435643446e-06,3.599328575367535e-06,9.51307483715752e-07,1.0653589284644355e-06
-4.765483670116529e-06,4.080640006409868e-06,1.4455492576246142e-06,2.599556922414758e-06,2.1843462933358254e-06,9.82779811036548e-07
-9.501974498322821e-07,3.0510749467679225e-06,3.7095607661731363e-07,1.2892633075637848e-06,3.0112059740580107e-06,7.324883041228235e-07
2.4293326977390092e-06,1.693464531334946e-06,-6.758221134753574e-07,2.490691648024403e-08,3.2363363416885915e-06,4.379565084321691e-07
4.912795592881627e-06,3.02206811047068e-07,-1.5763670979634227e-06,-9.39856592677527e-07,2.7660757499353612e-06,2.086720143064691e-07
6.2915499496368464e-06,-9.143159407370437e-07,-2.2037905019055876e-06,-1.5433397740842253e-06,1.6769453041857382e-06,6.579777466547487e-08
6.59770323425461e-06,-1.8471295771857303e-06,-2.445216875796523e-06,-1.8707407311937276e-06,2.0510048222674342e-07,-5.952538700284571e-08
6.026285666431732e-06,-2.436456982863392e-06,-2.2450047264739515e-06,-2.0202556416577426e-06,-1.3225588749682602e-06,-2.4603439184217646e-07
